name,lat,lon
Columbus AFB,33.6413120873,-88.45111875209999
NWS Charleston,32.9631678645,-79.9639295206
Dare County Range,35.714487469299996,-75.8785620838
Kalakaket Creek Radio Relay Site,64.4158437803,-156.821837779
McConnell AFB,37.625182951199996,-97.2602727625
Cheyenne Mountain AFS,38.7408662119,-104.84329656
Martin State Apt,39.3318084937,-76.4150778334
Selfridge ANGB,42.6123331855,-82.8356303363
Mansfield Lahm MAP,40.8116561998,-82.5179998231
Rosecrans MAP (139AG),39.766575372,-94.9019988102
Arnold AS,35.364639214600004,-86.0796716743
Clear AB,64.2884384307,-149.191567325
F E Warren AFB,41.1648044086,-104.8632088
Los Angeles Air Force Annex No.4,33.7196359868,-118.296071256
Davis-Monthan AFB,32.160608120999996,-110.848714906
USAF Academy Auxiliary Airfield,38.7602949057,-104.301351987
Eglin Afb Site 2 (Santa Rosa Island),30.394460791999997,-86.7427418884
Sheppard AFB,33.9845523871,-98.4996936819
Hector IAP,46.913693065,-96.8044377551
Savannah/Hilton Head IAP,32.126420385900005,-81.1897565604
MacDill AFB,27.8436157481,-82.5010378881
McClellan AFB,38.662840423,-121.403205955
Edwards AFB,34.8906115943,-117.848570875
Cape San Blas Tracking Annex D-3,29.675677530999998,-85.347100439
Columbus Auxiliary Airfield,32.9398358554,-88.5791426259
Fort Eustis,37.132267300500004,-76.5889077607
Tonopah Auxiliary Airfield Annex  2,37.8841719261,-116.768214328
Shaw AFB,33.9746417957,-80.47040345069999
NGA Arnold Site,38.4161872643,-90.39860799639999
Hanscom AFB,42.458926276999996,-71.2771089622
Keesler AFB,30.407831613899997,-88.92161786700001
Moody AFB,30.967560451199997,-83.1851129341
Montgomery Regional Airport ANGB,32.3047093339,-86.40143383959999
Pease ANGB,43.089068886099994,-70.81865063859999
Sioux Gateway Apt/Col Bud Day Field (ANG),42.3986242218,-96.3895685201
Otis ANGB,41.6461596101,-70.53373039739999
Hulman Fld,39.4539927155,-87.29444870290001
Westover ARB,42.199098672,-72.536526639
Nikolski Radio Relay Site,52.9705875149,-168.847986364
Tonopah Auxiliary Airfield Annex,37.8003693001,-116.776642592
Offutt AFB,41.1191520021,-95.9083431959
Randolph AFB,29.5303762915,-98.2796904632
Hancock Field,43.102747522399994,-76.1033321356
Great Falls IAP,47.476545603599995,-111.36497959100001
McGhee Tyson Airport,35.8114939421,-84.0036709533
Stewart IAP,41.501405282,-74.08434535479999
Laughlin AFB Aux 1,29.1183865271,-100.47229345
Creech AFB,36.5871865337,-115.67656906
North Air Force Auxiliary Field,33.6025364855,-81.0785389953
Eielson AFB,64.6740910917,-147.060287368
Charlotte/Douglas IAP,35.216336113000004,-80.9298620418
Pittsburgh IAP (ANG),40.4805591329,-80.21443783699999
Quonset State Airport,41.5969299432,-71.4184961614
Nellis AFB,36.2435034516,-114.99312030700001
Fairchild AFB,47.618658224899995,-117.648382681
Tyndall AFB,30.0448190215,-85.5489275904
Sky Harbor IAP,33.4258258419,-112.011664369
McEntire Joint NGB,33.922897977199995,-80.8006236107
Forbes Field (ANG),38.9609025845,-95.681207501
March ARB,33.888493007,-117.258617962
Little Rock AFB,34.9039998937,-92.13847409389999
St Louis AFS,38.5912194516,-90.2083428158
Duluth IAP,46.8447952956,-92.1775614355
Truax ANGB,43.1302049308,-89.33598265479999
Beale AFB,39.121043129099995,-121.39541450200001
Nellis  Annex,36.2384501464,-115.13582530299999
Lakehurst,40.0272402409,-74.37541137689999
Boles Annex,32.759212786999996,-105.930796486
Malmstrom AFB,47.5058577885,-111.182589777
Luke AFB,33.5362834546,-112.373495698
King Salmon Airport,58.685910765100004,-156.647282667
Laughlin AFB,29.3567402048,-100.782946259
Malabar Transmitter Annex,28.0209054942,-80.6795786052
Utah Test and Training Range South,40.4954379805,-113.559394785
Holloman AFB,32.9185260782,-106.133753072
Jonathan Dickinson Tracking Annex,26.9825205984,-80.1068614293
Travis AFB,38.267292482399995,-121.94176292899999
Minot AFB,48.4210386467,-101.338314421
Dover AFB,39.125370642,-75.4678392417
Will Rogers World Airport,35.407631784,-97.61172681059999
Youngstown Joint ARS,41.2673940097,-80.6788193398
Birch Lake Recreation Annex,64.3175377668,-146.646980929
Charleston Defense Fuel Support Point,32.9127968937,-79.9832675725
Verona Defense Fuel Support Point,43.1269235478,-75.5912449791
Tucson IAP,32.1314114834,-110.94925505
Channel Islands ANGS,34.138796148400004,-119.111103634
Gulfport-Biloxi Regional Airport (ANG),30.4088563222,-89.06758711360001
Niagara Falls,43.1132397133,-78.9499757807
