hour,shape,percent
8,total,51.02%
9,total,51.24%
10,total,51.48%
11,total,51.41%
12,total,51.67%
13,total,51.59%
14,total,51.59%
15,total,51.76%
16,total,52.01%
17,total,53.26%
18,total,55.13%
19,total,57.91%
20,total,61.22%
21,total,64.93%
22,total,63.66%
23,total,59.48%
