County,Populations
New Haven County[n],862287
New London County[n],274150
Tolland County[n],151377
Windham County[n],117604
Kent County,Delaware
New Castle County,549684
Sussex County,206649
District of Columbia[o],646449
Alachua County,253451
Baker County,27013
Bay County,174987
Bradford County,26850
Brevard County,550823
Broward County,1838844
Calhoun County,14682
Charlotte County,164736
Citrus County,139271
Clay County,196399
Collier County,339642
Columbia County,67543
DeSoto County,34517
Dixie County,15940
Duval County,885855
Escambia County,305817
Flagler County,99956
Franklin County,11598
Gadsden County,46194
Gilchrist County,16931
Glades County,13345
Gulf County,15829
Hamilton County,14354
Hardee County,27519
Hendry County,37471
Hernando County,174441
Highlands County,97616
Hillsborough County,1291578
Holmes County,19717
Indian River County,141994
Jackson County,48922
Jefferson County,14194
Lafayette County,8848
Lake County,308034
Lee County,661115
Leon County,281845
Levy County,39644
Liberty County,8349
Madison County,18728
Manatee County,342106
Marion County,337362
Martin County,151263
Miami-Dade County,2617176
Monroe County,76351
Nassau County,75710
Okaloosa County,193811
Okeechobee County,39330
Orange County,1225267
Osceola County,298504
Palm Beach County,1372171
Pasco County,475502
Pinellas County,929048
Polk County,623009
Putnam County,72577
St. Johns County,209647
St. Lucie County,286832
Santa Rosa County,161096
Sarasota County,390429
Seminole County,436041
Sumter County,107056
Suwannee County,43734
Taylor County,22857
Union County,15136
Volusia County,500800
Wakulla County,31022
Walton County,59807
Washington County,24624
Appling County,18440
Atkinson County,8290
Bacon County,11216
Baker County,3341
Baldwin County,46039
Banks County,18415
Barrow County,71453
Bartow County,101273
Ben Hill County,17515
Berrien County,19048
Bibb County,154721
Bleckley County,12771
Brantley County,18292
Brooks County,15516
Bryan County,33157
Bulloch County,71214
Burke County,22923
Butts County,23361
Calhoun County,6523
Camden County,51476
Candler County,10937
Carroll County,112355
Catoosa County,65311
Charlton County,13255
Chatham County,278434
Chattahoochee County,12842
Chattooga County,25138
Cherokee County,225106
Clarke County,121265
Clay County,3045
Clayton County,264220
Clinch County,6795
Cobb County,717190
Coffee County,43220
Colquitt County,46275
Columbia County,135416
Cook County,17066
Coweta County,133180
Crawford County,12504
Crisp County,23336
Dade County,16507
Dawson County,22686
Decatur County,27359
DeKalb County,713340
Dodge County,21221
Dooly County,14304
Dougherty County,92969
Douglas County,136379
Early County,10542
Echols County,4057
Effingham County,54456
Elbert County,19599
Emanuel County,22867
Evans County,10833
Fannin County,23760
Fayette County,108365
Floyd County,95821
Forsyth County,195405
Franklin County,22009
Fulton County,1010562
Gilmer County,28579
Glascock County,3102
Glynn County,81508
Gordon County,55757
Grady County,25278
Greene County,16321
Gwinnett County,859304
Habersham County,43300
Hall County,187745
Hancock County,8879
Haralson County,28495
Harris County,32663
Hart County,25446
Heard County,11558
Henry County,211128
Houston County,147658
Irwin County,9427
Jackson County,61044
Jasper County,13601
Jeff Davis County,15004
Jefferson County,16320
Jenkins County,9269
Johnson County,9767
Jones County,28569
Lamar County,17959
Lanier County,10408
Laurens County,47999
Lee County,29071
Liberty County,64135
Lincoln County,7751
Long County,16624
Lowndes County,112916
Lumpkin County,30918
McDuffie County,21565
McIntosh County,14007
Macon County,14009
Madison County,28057
Marion County,8640
Meriwether County,21232
Miller County,5932
Mitchell County,23045
Monroe County,26984
Montgomery County,9021
Morgan County,17781
Murray County,39267
Muscogee County,202824
Newton County,102446
Oconee County,34035
Oglethorpe County,14548
Paulding County,146950
Peach County,27014
Pickens County,29584
Pierce County,18938
Pike County,17796
Polk County,41183
Pulaski County,11542
Putnam County,21371
Quitman County,2367
Rabun County,16235
Randolph County,7197
Richmond County,202003
Rockdale County,86919
Schley County,5089
Screven County,14240
Seminole County,8945
Spalding County,63829
Stephens County,25683
Stewart County,5868
Sumter County,31364
Talbot County,6456
Taliaferro County,1703
Tattnall County,25526
Taylor County,8464
Telfair County,16591
Terrell County,9022
Thomas County,44869
Tift County,40286
Toombs County,27273
Towns County,10771
Treutlen County,6712
Troup County,69053
Turner County,8134
Twiggs County,8481
Union County,21566
Upson County,26566
Walker County,68198
Walton County,85754
Ware County,35709
Warren County,5558
Washington County,20676
Wayne County,30077
Webster County,2719
Wheeler County,7909
White County,27797
Whitfield County,102945
Wilcox County,8960
Wilkes County,10010
Wilkinson County,9432
Worth County,21291
Guam[9],162742
Hawaii County,190821
"Honolulu, City and County of[p]",983429
Kalawao County,90
Kauai County,69512
Maui County,160202
Ada County,416464
Adams County,3828
Bannock County,83249
Bear Lake County,5943
Benewah County,9044
Bingham County,45290
Blaine County,21329
Boise County,6795
Bonner County,40699
Bonneville County,107517
Boundary County,10853
Butte County,2642
Camas County,1042
Canyon County,198871
Caribou County,6808
Cassia County,23331
Clark County,867
Clearwater County,8577
Custer County,4249
Elmore County,26170
Franklin County,12854
Fremont County,12927
Gem County,16686
Gooding County,15080
Idaho County,16116
Jefferson County,26914
Jerome County,22514
Kootenai County,144265
Latah County,38078
Lemhi County,7712
Lewis County,3902
Lincoln County,5315
Madison County,37450
Minidoka County,20292
Nez Perce County,39915
Oneida County,4275
Owyhee County,11472
Payette County,22610
Power County,7719
Shoshone County,12690
Teton County,10275
Twin Falls County,79957
Valley County,9606
Washington County,9944
Adams County,67130
Alexander County,7629
Bond County,17470
Boone County,53957
Brown County,6860
Bureau County,34056
Calhoun County,5059
Carroll County,14910
Cass County,13324
Champaign County,204897
Christian County,34298
Clark County,16182
Clay County,13566
Clinton County,37907
Coles County,53697
Cook County,5240700
Crawford County,19505
Cumberland County,10939
DeKalb County,104741
De Witt County,16420
Douglas County,19887
DuPage County,932126
Edgar County,17960
Edwards County,6672
Effingham County,34307
Fayette County,22060
Ford County,13832
Franklin County,39202
Fulton County,36346
Gallatin County,5415
Greene County,13629
Grundy County,50228
Hamilton County,8368
Hancock County,18618
Hardin County,4181
Henderson County,6990
Henry County,49860
Iroquois County,28982
Jackson County,59814
Jasper County,9592
Jefferson County,38644
Jersey County,22641
Jo Daviess County,22407
Johnson County,12677
Kane County,523643
Kankakee County,112120
Kendall County,119348
Knox County,52078
Lake County,703019
LaSalle County,112183
Lawrence County,16558
Lee County,34858
Livingston County,38186
Logan County,29964
McDonough County,32464
McHenry County,307409
McLean County,174647
Macon County,109278
Macoupin County,46880
Madison County,267225
Marion County,38622
Marshall County,12153
Mason County,14248
Massac County,15073
Menard County,12607
Mercer County,16178
Monroe County,33493
Montgomery County,29654
Morgan County,35067
Moultrie County,14876
Ogle County,52385
Peoria County,188429
Perry County,21887
Piatt County,16433
Pike County,16150
